title,author,category,publish_year,title_id,author_id,cover_url,book_stats,descriptions,reading_stats
How does living alone affect dietary quality?,United States. Dept. of Agriculture. Agr...,nutrition,First published in 1994,/works/OL3169974W,/authors/OL506866A/United_States._Dept._of_Agriculture._Agriculture_Research_Service.,/images/icons/avatar_book-sm.png,Publish Date 1994|Publisher  The Dept.|Language English|Pages 13,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Nutrition and technical development of aquaculture,United States-Japan Cooperative Program ...,nutrition,First published in 1998,/works/OL3202011W,/authors/OL516252A/United_States-Japan_Cooperative_Program_in_Natural_Resources._Aquaculture_Panel._Symposium,/images/icons/avatar_book-sm.png,Publish Date 1998|Publisher  University of New Hampshire Sea Grant Program|Language English|Pages 283,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
?Quien se preocupará por ellos?,Pier Carlo Perotto,nutrition,First published in 1983,/works/OL32047170W,/authors/OL191949A/Pier_Carlo_Perotto,/images/icons/avatar_book-sm.png,Publish Date 1983|Publisher  [Secretariado de Estudios y Acción Social de la Conferencia Episcopal Boliviana]|Language Portuguese|Pages 103,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Simply Better Food for Your Baby and Toddler,Peter Vaughan,nutrition,First published in 2004,/works/OL3260229W?edition=ia%3Asimplybetterfood0000vaug,/authors/OL531312A/Peter_Vaughan,//covers.openlibrary.org/b/olid/OL7858969M-M.jpg,"Publish Date October 28, 2004|Publisher  Foulsham|Pages 168",This edition doesn't have a description yet. Can you add one?,1 Want to read|0 Currently reading|0 Have read
Gobernar es alimentar,Juan Carlos Yáñez Andrade,nutrition,First published in 2018,/works/OL32568459W,/authors/OL6615562A/Juan_Carlos_Yáñez_Andrade,/images/icons/avatar_book-sm.png,Publish Date 2018|Publisher  Editorial América en Movimiento|Language Spanish|Pages 160,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Sociology on the menu,Alan Beardsworth,nutrition,First published in 1997,/works/OL3268166W?edition=ia%3Asociologyonmenui0000bear_c3a2,/authors/OL533055A/Alan_Beardsworth,//covers.openlibrary.org/b/olid/OL980755M-M.jpg,Publish Date 1997|Publisher  Routledge|Language English|Pages 277,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Good food,Margaret M. Wittenberg,nutrition,First published in 1995,/works/OL2984391W?edition=ia%3Agoodfoodcomplete0000witt,/authors/OL456900A/Margaret_M._Wittenberg,//covers.openlibrary.org/b/olid/OL1268980M-M.jpg,Publish Date 1995|Publisher  Crossing Press|Language English|Pages 379,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The vitamin strategy,Art Ulene,nutrition,First published in 1994,/works/OL2992803W?edition=ia%3Avitaminstrategy00ulen,/authors/OL458595A/Art_Ulene,//covers.openlibrary.org/b/olid/OL1438553M-M.jpg,Publish Date 1994|Publisher  Ulysses Press|Language English|Pages 279,This edition doesn't have a description yet. Can you add one?,3 Want to read|0 Currently reading|0 Have read
Bibliography of soil fertility and plant nutrition in Papua New Guinea,R. M. Bourke,nutrition,First published in 1993,/works/OL3145505W,/authors/OL499613A/R._M._Bourke,/images/icons/avatar_book-sm.png,Publish Date 1993|Publisher  Dept. of Agriculture and Livestock|Language English|Pages 17,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The Child nutrition amendments of 1978,United States. Congress. House. Committe...,nutrition,First published in 1978,/works/OL3015771W,/authors/OL463931A/United_States._Congress._House._Committee_on_Education_and_Labor._Subcommittee_on_Elementary_Seconda,/images/icons/avatar_book-sm.png,Publish Date 1978|Publisher  U.S. Govt. Off.|Language English|Pages 360,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
