title,author,category,publish_year,title_id,author_id,cover_url,book_stats,descriptions,reading_stats
Finansovai͡a︡ sistema SSSR,Nikolaĭ Nikolaevich Rovinskiĭ,finance,First published in 1951,/works/OL7417641W,/authors/OL2239030A/Nikolaĭ_Nikolaevich_Rovinskiĭ,/images/icons/avatar_book-sm.png,Publish Date 1953|Publisher  Verlag Die Wirtschaft|Language German|Pages 154,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Handbook of church finance,David R. Holt,finance,First published in 1960,/works/OL7343334W?edition=ia%3Ahandbookofchurch0000holt,/authors/OL2171795A/David_R._Holt,//covers.openlibrary.org/b/olid/OL5796401M-M.jpg,Publish Date 1960|Publisher  Macmillan|Language English|Pages 201,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"Municipal finance in Kansas, 1948-1959",James T. McDonald,finance,First published in 1962,/works/OL7325043W,/authors/OL2155287A/James_T._McDonald,/images/icons/avatar_book-sm.png,"Publish Date 1963|Publisher  Governmental Research Center, University of Kansas|Language English|Pages 40",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Written evidence of H.M. Treasury [to the] Royal Commission on Local Government in England,HM Treasury,finance,First published in 1967,/works/OL760827W,/authors/OL62351A/HM_Treasury,/images/icons/avatar_book-sm.png,Publish Date 1967|Publisher  H.M.S.O.|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Finance and credit,V. I. Pereslegin,finance,First published in 1965,/works/OL6959257W,/authors/OL1933098A/V._I._Pereslegin,/images/icons/avatar_book-sm.png,Publish Date 1965|Publisher  Progress Publishers|Language English|Pages 140,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The money tree,Catherine Crook De Camp,finance,First published in 1972,/works/OL7010308W,/authors/OL1961617A/Catherine_Crook_De_Camp,/images/icons/avatar_book-sm.png,Publish Date 1972|Publisher  New American Library|Language English|Pages 352,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Gemeentelijke investeringsbeslissingen,J. D. Hilferink,finance,First published in 1974,/works/OL6883362W,/authors/OL1899197A/J._D._Hilferink,/images/icons/avatar_book-sm.png,Publish Date 1974|Publisher  Bank voor Nederlandse Gemeenten|Language Dutch|Pages 211,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Money and credit in developing Africa,Eric L. Furness,finance,First published in 1975,/works/OL6943068W,/authors/OL1925934A/Eric_L._Furness,//covers.openlibrary.org/b/olid/OL4937300M-M.jpg,Publish Date 1975|Publisher  Heinemann Educational|Language English|Pages 308,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
al- Niẓām al-mālī al-Islāmī al-muqārin,Badawī ʻAbd al-Laṭīf,finance,First published in 1972,/works/OL6870825W,/authors/OL1890992A/Badawī_ʻAbd_al-Laṭīf,/images/icons/avatar_book-sm.png,"Publish Date 1972|Publisher  al-Majlis al-Aʻlá lil-Shuʼūn al-Islāmīyah, Lajnat al-Taʻrīf bi-al-Islām|Language Arabic|Pages 155",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Wohnungsbaufinanzierung,Ernst Kiock,finance,First published in 1968,/works/OL6964516W,/authors/OL1936069A/Ernst_Kiock,/images/icons/avatar_book-sm.png,Publish Date 1975|Publisher  Knapp|Language German|Pages 95,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The financing of schools in Illinois,Betsy Levin,finance,First published in 1973,/works/OL6466780W,/authors/OL1715854A/Betsy_Levin,/images/icons/avatar_book-sm.png,Publish Date 1973|Publisher  Urban Institute|Language English|Pages 151,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Opintokustannustutkimus 1973,Simo S. Soininen,finance,First published in 1973,/works/OL6521333W,/authors/OL1741937A/Simo_S._Soininen,/images/icons/avatar_book-sm.png,Publish Date 1973|Language Finnish|Pages 168,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Metropolitan America; fiscal patterns and governmental systems,Alan K. Campbell,finance,First published in 1967,/works/OL6428049W?edition=ia%3Ametropolitanamer0000camp,/authors/OL1700680A/Alan_K._Campbell,//covers.openlibrary.org/b/olid/OL5537379M-M.jpg,Publish Date 1967|Publisher  Free Press|Language English|Pages 239,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Promoting better utilization and increased revenues for Washington State ferries,Jonas and Associates.,finance,First published in 1977,/works/OL6539190W,/authors/OL1747690A/Jonas_and_Associates.,/images/icons/avatar_book-sm.png,Publish Date 1977|Publisher  The Committee|Language English|Pages 500,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Money made simple: how to flawlessly control your finances in minutes a year,Stacy Johnson,finance,First published in 2003,/works/OL6039569W?edition=ia%3Amoneymadesimpleh00john,/authors/OL1519072A/Stacy_Johnson,//covers.openlibrary.org/b/olid/OL3695348M-M.jpg,Publish Date 2004|Publisher  Ballantine Books|Language English|Pages 303,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Waiver of section 303(a) of the Congressional Budget Act with respect to consideration of S. 1024,United States. Congress. Senate. Committ...,finance,First published in 1981,/works/OL616247W,/authors/OL47439A/United_States._Congress._Senate._Committee_on_the_Budget.,/images/icons/avatar_book-sm.png,Publish Date 1981|Publisher  U.S. G.P.O.|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
La finanza locale in Italia,Attilio Gaboardi,finance,First published in 1971,/works/OL6410435W,/authors/OL1691704A/Attilio_Gaboardi,/images/icons/avatar_book-sm.png,Publish Date 1971|Publisher  F. Angeli|Language Italian|Pages 183,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Un aspect du problème ferroviaire français,Georges Harcavi,finance,First published in 1939,/works/OL6395311W,/authors/OL1684585A/Georges_Harcavi,/images/icons/avatar_book-sm.png,Publish Date 1939|Publisher  Librairie du Recueil Sirey|Language French|Pages 52,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"County road needs in East Sussex, Kent, and West Sussex",British Road Federation.,finance,First published in 1978,/works/OL6464015W,/authors/OL1714990A/British_Road_Federation.,/images/icons/avatar_book-sm.png,Publish Date 1978|Publisher  The Federation|Language English|Pages 16,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
How to increase church income,Weldon Frank Crossland,finance,First published in 1947,/works/OL7426049W?edition=ia%3Ahowtoincreasechu00cros,/authors/OL2242279A/Weldon_Frank_Crossland,//covers.openlibrary.org/b/olid/OL6512889M-M.jpg,Publish Date 1947|Publisher  Abingdon-Cokesbury Press|Language English|Pages 159,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Personal finance,Virginia Britton,finance,First published in 1968,/works/OL7264021W,/authors/OL2117668A/Virginia_Britton,/images/icons/avatar_book-sm.png,Publish Date 1968|Publisher  American Book Co.|Language English|Pages 406,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Cost of a slum area,John C. Alston,finance,First published in 1948,/works/OL7433946W,/authors/OL2245848A/John_C._Alston,/images/icons/avatar_book-sm.png,Publish Date 1948|Language English|Pages 38,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Mémoires pour servir à l'histoire générale des finances,Charles Geneviève Louis Auguste André Ti...,finance,First published in 1758,/works/OL7485757W,/authors/OL2272591A/Charles_Geneviève_Louis_Auguste_André_Timothée_d'_Eon_de_Beaumont,/images/icons/avatar_book-sm.png,Publish Date 1758|Publisher  L. P. Mortier|Language French,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Die Ordnung der Finanzen in der Bundesrepublik Deutschland,Wilhelm Henle,finance,First published in 1964,/works/OL7396596W,/authors/OL2219765A/Wilhelm_Henle,/images/icons/avatar_book-sm.png,Publish Date 1964|Publisher  Duncker & Humblot|Language German|Pages 222,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Michigan State highway expenditure policy,Hubert Howard Frisinger,finance,First published in 1952,/works/OL7490461W,/authors/OL2275340A/Hubert_Howard_Frisinger,/images/icons/avatar_book-sm.png,Publish Date 1954|Publisher  University of Michigan Press|Language English|Pages 115,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Finanzwissenschaft,R. van der Borght,finance,First published in 1902,/works/OL7710360W?edition=ia%3Ahistoiredeladmi00bonngoog,/authors/OL2385432A/R._van_der_Borght,//covers.openlibrary.org/b/olid/OL23391169M-M.jpg,Publish Date 1902|Publisher  G. J. Göschen|Language German|Pages 180,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Étude sur le système belge en matière de budget de l'état,Ernest Dubois,finance,First published in 1904,/works/OL7736465W,/authors/OL2401981A/Ernest_Dubois,/images/icons/avatar_book-sm.png,"Publish Date 1904|Publisher  [Hayex, imprimeur de l'Académie royale des sciences, des lettres et des beaux-arts de Belgique]|Language French|Pages 479",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The library's financial records,Helen E. Bray,finance,First published in 1943,/works/OL7684249W,/authors/OL2370525A/Helen_E._Bray,/images/icons/avatar_book-sm.png,"Publish Date 1943|Publisher  Edwards brothers, inc.|Language English|Pages 58",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Making money with options,J. P. Warren,finance,First published in 1968,/works/OL7186087W,/authors/OL2058554A/J._P._Warren,/images/icons/avatar_book-sm.png,"Publish Date 1968|Publisher  Warren, Cameron & Co. Ltd.|Language English|Pages 28",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Elements of financial administration,John L. O'Donnell,finance,First published in 1962,/works/OL7360046W?edition=ia%3Aelementsoffinanc0000odon,/authors/OL2186129A/John_L._O'Donnell,//covers.openlibrary.org/b/olid/OL5853663M-M.jpg,Publish Date 1962|Publisher  C.E. Merrill Books|Language English|Pages 681,This edition doesn't have a description yet. Can you add one?,1 Want to read|0 Currently reading|0 Have read
"Money; how to save it, spend it, and make it","Coleman, Bernard D.",finance,First published in 1968,/works/OL7269908W,/authors/OL2123945A/Coleman_Bernard_D.,/images/icons/avatar_book-sm.png,Publish Date 1968|Publisher  Pergamon Press|Language English|Pages 296,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Économie financière internationale,"Bertrand, Raymond docteur en droit.",finance,First published in 1971,/works/OL6974603W,/authors/OL1942428A/Bertrand_Raymond_docteur_en_droit.,/images/icons/avatar_book-sm.png,Publish Date 1975|Publisher  Presses universitaires de France|Language French|Pages 300,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Der Finanzmarkt New York,Richard Nowak,finance,First published in 1967,/works/OL7259218W,/authors/OL2114312A/Richard_Nowak,//covers.openlibrary.org/b/olid/OL28028629M-M.jpg,Publish Date 1967|Publisher  Opladen. Westdeutscher Verlag|Language German|Pages 261,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Local Financial Management in Schools,P. J. Downes,finance,First published in 1988,/works/OL7287695W,/authors/OL2135267A/P._J._Downes,/images/icons/avatar_book-sm.png,Publish Date 1988|Publisher  Basil Blackwell|Language English|Pages 170,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Die finanzpolitik der preussischen Grossstädte ..,Walther Klose,finance,First published in 1907,/works/OL7862333W?edition=ia%3Adiefinanzpolitik00klos,/authors/OL2522786A/Walther_Klose,//covers.openlibrary.org/b/olid/OL6995370M-M.jpg,Publish Date 1907|Publisher  Gebauer-Schwetschke m.b.h.|Language German|Pages 75,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Die entwicklung der finanzen im grossherzogtum Sachsen-Weimar von 1851 biz zur gegenwart ..,Georg Otto Max Boelcke,finance,First published in 1906,/works/OL7863000W,/authors/OL2523575A/Georg_Otto_Max_Boelcke,/images/icons/avatar_book-sm.png,Publish Date 1906|Publisher  G. Fischer|Language German|Pages 165,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Public finance,Earl Robert Rolph,finance,First published in 1961,/works/OL6927811W?edition=ia%3Apublicfinance0000rolp,/authors/OL1919061A/Earl_Robert_Rolph,//covers.openlibrary.org/b/olid/OL5821491M-M.jpg,Publish Date 1961|Publisher  Ronald Press Co.|Language English|Pages 586,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Chūgoku no zaisei seido,Tadao Miyashita,finance,First published in 1968,/works/OL6902723W,/authors/OL1909384A/Tadao_Miyashita,/images/icons/avatar_book-sm.png,"Publish Date 1968|Publisher  Ajia Keizai Kenkyūjo,              Ajia Keizai Shuppankai hatsubai|Language Japanese|Pages 287",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"A Bill in Addition to the Act to Regulate the Laying Out and Making a Road from Cumberland, in the State of Maryland, to the State of Ohio",United States. Congress. Senate,finance,First published in 1812,/works/OL692579W,/authors/OL4610079A/United_States._Congress._Senate,/images/icons/avatar_book-sm.png,Publish Date 1815|Publisher  s.n.|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The pre-producers,Boyan Jovanovic,finance,First published in 2004,/works/OL5541897W,/authors/OL1322923A/Boyan_Jovanovic,/images/icons/avatar_book-sm.png,Publish Date 2004|Publisher  National Bureau of Economic Research|Language English,"""Until its sales of a product materialize, a firm is a ""pre-producer"" in the market for that product.  That firm may may be a new start-up, or it may already sell other products.  Firms that do not succeed in generating sales eventually become discouraged and move on to other activities.  When this fate befalls a lot of firms, as it recently did in several IT-related businesses, the industry experiences a ""shakeout."" In the model that I will present, during the shakeout some firms switch to flatter, safer earnings.  This switch raises earnings at the time of the shakeout but lowers them in the long run, and it therefore raises earnings-price ratios.  This has happened on the Nasdaq since March, 2000 when the Nasdaq shakeout began""--National Bureau of Economic Research web site.   Read more Read less",0 Want to read|0 Currently reading|0 Have read
Mini-guide to inflation,Charlotte T. Harter,finance,First published in 1975,/works/OL5514251W,/authors/OL1311687A/Charlotte_T._Harter,/images/icons/avatar_book-sm.png,"Publish Date 1981|Publisher  Cooperative Extension Services of University of Idaho, Washington State University, Oregon State University, and U.S. Dept. of Agriculture|Language English",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Guide to finance for lawyers,John D. Ayer,finance,First published in 2001,/works/OL5283925W?edition=ia%3Aguidetofinancefo0000ayer,/authors/OL1197124A/John_D._Ayer,//covers.openlibrary.org/b/olid/OL3945315M-M.jpg,Publish Date 2001|Publisher  Lexis Pub.|Language English|Pages 382,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Nat͡s︡ionalʹnyĭ dokhod i finansy SSSR,Arseniĭ Grigorʹevich Zverev,finance,First published in 1961,/works/OL6527359W,/authors/OL1744266A/Arseniĭ_Grigorʹevich_Zverev,/images/icons/avatar_book-sm.png,"Publish Date 1970|Publisher  ""Finansy,""|Language Russian|Pages 312",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Stemming world inflation,Gardner Ackley,finance,First published in 1971,/works/OL6543344W,/authors/OL1749456A/Gardner_Ackley,/images/icons/avatar_book-sm.png,Publish Date 1971|Publisher  The Atlantic Institute|Language English|Pages 96,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Local authority finance in New Zealand,New Zealand. Committee on Local Authorit...,finance,First published in 1973,/works/OL6618476W,/authors/OL1779331A/New_Zealand._Committee_on_Local_Authority_Finance.,/images/icons/avatar_book-sm.png,Publish Date 1977|Publisher  Dept. of Internal Affairs|Language English|Pages 60,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The finances of Vermont,Frederick A. Wood,finance,First published in 1913,/works/OL6686073W,/authors/OL1807439A/Frederick_A._Wood,/images/icons/avatar_book-sm.png,Publish Date 1970|Publisher  AMS Press|Language English|Pages 147,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Finances of Edward VI and Mary,Frederick C. Dietz,finance,First published in 1918,/works/OL6606054W?edition=ia%3Afinancesofedward00dietrich,/authors/OL1776083A/Frederick_C._Dietz,//covers.openlibrary.org/b/olid/OL7138597M-M.jpg,Publish Date 1918|Publisher  Dept. of history of Smith college,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"Equity in school financing, full state funding",Charles Scott Benson,finance,First published in 1975,/works/OL6686526W,/authors/OL1807613A/Charles_Scott_Benson,/images/icons/avatar_book-sm.png,Publish Date 1975|Publisher  Phi Delta Kappa Educational Foundation|Language English|Pages 30,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The economics of corporate finance,Seymour Friedland,finance,First published in 1966,/works/OL6669519W?edition=ia%3Aeconomicsofcorpo0000frie,/authors/OL1802416A/Seymour_Friedland,//covers.openlibrary.org/b/olid/OL5946709M-M.jpg,Publish Date 1966|Publisher  Prentice-Hall|Language English|Pages 409,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Housing finance in Wales,Great Britain. Working Party on Welsh Ho...,finance,First published in 1977,/works/OL6625244W,/authors/OL1781727A/Great_Britain._Working_Party_on_Welsh_Housing_Finance.,/images/icons/avatar_book-sm.png,Publish Date 1977|Publisher  Welsh Office|Language English|Pages 17,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Treasurer's guide,Executive Reports Corporation.,finance,First published in 1967,/works/OL6567860W,/authors/OL1760822A/Executive_Reports_Corporation.,/images/icons/avatar_book-sm.png,Publish Date 1972|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"La commune, son budget, ses comptes",François Giquel,finance,First published in 1970,/works/OL6757294W,/authors/OL1836553A/François_Giquel,/images/icons/avatar_book-sm.png,Publish Date 1977|Publisher  Éditions ouvrières|Language French|Pages 255,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Make your income count,Donald I. Rogers,finance,First published in 1958,/works/OL6689094W?edition=ia%3Amakeyourincomeco00roge,/authors/OL1808514A/Donald_I._Rogers,//covers.openlibrary.org/b/olid/OL6246852M-M.jpg,Publish Date 1958|Publisher  Holt|Language English|Pages 216,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Kommunernas ekonomi 1960-1972,Sweden. Kommunalekonomiska utredningen.,finance,First published in 1976,/works/OL6756080W,/authors/OL1835866A/Sweden._Kommunalekonomiska_utredningen.,/images/icons/avatar_book-sm.png,Publish Date 1976|Publisher  Finansdepartementet|Language Swedish|Pages 429,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Techniques financières et comptables des entreprises,André A. Brunet,finance,First published in 1965,/works/OL6865912W,/authors/OL1887676A/André_A._Brunet,/images/icons/avatar_book-sm.png,Publish Date 1969|Publisher  impr. C. Allée|Language French,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
L' inflation,A. Viau,finance,First published in 1975,/works/OL6857784W,/authors/OL1882665A/A._Viau,/images/icons/avatar_book-sm.png,Publish Date 1975|Publisher  Éditions du Seuil|Language French|Pages 159,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Organizing and managing the corporate financial function,Edwin P. Harkins,finance,First published in 1969,/works/OL6785784W,/authors/OL1851865A/Edwin_P._Harkins,/images/icons/avatar_book-sm.png,Publish Date 1969|Publisher  National Industrial Conference Board|Language English|Pages 56,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Finansijska teorija i politika,Aleksandar V. Perić,finance,First published in 1966,/works/OL6793529W,/authors/OL1856724A/Aleksandar_V._Perić,/images/icons/avatar_book-sm.png,"Publish Date 1966|Publisher  ""Naučna knjiga,""|Language Croatian|Pages 442",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Personal money management,Roger Hugh Nelson,finance,First published in 1973,/works/OL6708567W,/authors/OL1814975A/Roger_Hugh_Nelson,/images/icons/avatar_book-sm.png,Publish Date 1973|Publisher  Addison-Wesley Pub. Co.|Language English|Pages 766,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Financing public schools in the United States,Arvid James Burke,finance,First published in 1951,/works/OL6785677W,/authors/OL1851809A/Arvid_James_Burke,/images/icons/avatar_book-sm.png,Publish Date 1957|Publisher  Harper|Language English|Pages 679,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Aspects of the pathology of money: monetary essays from four decades,Michael Angelo Heilperin,finance,First published in 1968,/works/OL6806191W,/authors/OL1861828A/Michael_Angelo_Heilperin,/images/icons/avatar_book-sm.png,"Publish Date 1968|Publisher  published by Joseph for the Graduate Institute of International Studies, Geneva|Language English|Pages 296",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Business consortia,A. Harding Boulton,finance,First published in 1961,/works/OL6736519W,/authors/OL1825435A/A._Harding_Boulton,/images/icons/avatar_book-sm.png,Publish Date 1961|Publisher  Sweet & Maxwell|Language English|Pages 124,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Northern Virginia regional fiscal survey,Jerome Percival Pickard,finance,First published in 1965,/works/OL6199903W,/authors/OL1596823A/Jerome_Percival_Pickard,/images/icons/avatar_book-sm.png,Publish Date 1965|Publisher  Urban Land Institute|Language English|Pages 179,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The post-war expansion of state expenditures,Clarence Heer,finance,First published in 1926,/works/OL6685208W,/authors/OL1807132A/Clarence_Heer,/images/icons/avatar_book-sm.png,Publish Date 1926|Publisher  National institute of public administration|Language English|Pages 123,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
How to stretch your money,"Margolius, Sidney",finance,First published in 1960,/works/OL6564103W,/authors/OL1759323A/Margolius_Sidney,/images/icons/avatar_book-sm.png,Publish Date 1960|Publisher  Public Affairs Committee|Language English|Pages 28,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Family money problems,"Margolius, Sidney",finance,First published in 1967,/works/OL6564099W,/authors/OL1759323A/Margolius_Sidney,/images/icons/avatar_book-sm.png,Publish Date 1976|Publisher  Public Affairs Committee|Language English|Pages 20,This edition doesn't have a description yet. Can you add one?,1 Want to read|0 Currently reading|0 Have read
How to finance your home,"Margolius, Sidney",finance,First published in 1964,/works/OL6564102W,/authors/OL1759323A/Margolius_Sidney,/images/icons/avatar_book-sm.png,Publish Date 1964|Publisher  Public Affairs Committee|Language English|Pages 20,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Personal finance,Iqbal Mathur,finance,First published in 1984,/works/OL4961676W,/authors/OL1070845A/Iqbal_Mathur,/images/icons/avatar_book-sm.png,Publish Date 1989|Publisher  South-Western Pub. Co.|Language English|Pages 726,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Wealth,W. Thomas Porter,finance,First published in 1976,/works/OL5024420W?edition=ia%3Awealthhowtoachie00port,/authors/OL1092790A/W._Thomas_Porter,//covers.openlibrary.org/b/olid/OL5207774M-M.jpg,Publish Date 1976|Publisher  Reston Pub. Co.|Language English|Pages 335,This edition doesn't have a description yet. Can you add one?,2 Want to read|0 Currently reading|0 Have read
Evaluating international projects,Donald R. Lessard,finance,First published in 1979,/works/OL4970814W?edition=ia%3Aevaluatingintern1979less,/authors/OL1073307A/Donald_R._Lessard,//covers.openlibrary.org/b/olid/OL14050946M-M.jpg,"Publish Date 1979|Publisher  Alfred P. Sloan School of Management, Massachusetts Institute of Technology|Language English|Pages 28",This edition doesn't have a description yet. Can you add one?,2 Want to read|0 Currently reading|0 Have read
