title,author,category,publish_year,title_id,author_id,cover_url,book_stats,descriptions,reading_stats
Cultures of Power in Post-Communist Russia,Michael Urban,political_science,First published in 2010,/works/OL21489794W,/authors/OL7475137A/Michael_Urban,/images/icons/avatar_book-sm.png,Publish Date 2012|Publisher  University of Cambridge ESOL Examinations|Language English|Pages 230,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Social Needs Versus Economic Efficiency in China : Sun Yefang's Critique of Socialist Economics / Edited and Translated with an Introduction by K. K. Fung.,K. K. Fung,political_science,First published in 2017,/works/OL21331018W,/authors/OL2947289A/K._K._Fung,/images/icons/avatar_book-sm.png,Publish Date 2017|Publisher  Taylor & Francis Group|Language English|Pages 180,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Metropolitanization and Public Services,Charles M. Haar,political_science,First published in 2015,/works/OL21281211W,/authors/OL2754100A/Charles_M._Haar,/images/icons/avatar_book-sm.png,Publish Date 2015|Publisher  Taylor & Francis Group|Language English|Pages 82,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Achieving nuclear ambitions,Jacques E. C. Hymans,political_science,First published in 2012,/works/OL16343049W,/authors/OL2767624A/Jacques_E._C._Hymans,/images/icons/avatar_book-sm.png,Publish Date 2012|Publisher  Cambridge University Press|Language English,"""Despite the global spread of nuclear hardware and knowledge, at least half of the nuclear weapons projects launched since 1970 have definitively failed, and even the successful projects have generally needed far more time than expected. To explain this puzzling slowdown in proliferation, Jacques E. C. Hymans focuses on the relations between politicians and scientific and technical workers in developing countries. By undermining the workers' spirit of professionalism, developing country rulers unintentionally thwart their own nuclear ambitions. Combining rich theoretical analysis, in-depth historical case studies of Iraq, China, Yugoslavia and Argentina and insightful analyses of current-day proliferant states, Achieving Nuclear Ambitions develops a powerful new perspective that effectively counters the widespread fears of a coming cascade of new nuclear powers""--   Read more Read less",0 Want to read|0 Currently reading|0 Have read
Idola fori: [ensayo sobre las supersticiones políticas],Carlos Arturo Torres,political_science,First published in 1935,/works/OL1743810W,/authors/OL201451A/Carlos_Arturo_Torres,/images/icons/avatar_book-sm.png,Publish Date 1969|Publisher  Universidad Pedagógica y Tecnológica de Colombia|Language Spanish|Pages 378,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Political and Philosophical Writings of William Godwin Vol 6,Mark Philp,political_science,First published in 1993,/works/OL21278138W,/authors/OL693707A/Mark_Philp,//covers.openlibrary.org/b/olid/OL28808455M-M.jpg,"Publish Date 1993|Publisher  Taylor & Francis Group,              Routledge|Language English|Pages 304",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Breaking Ranks,Norman Podhoretz,political_science,First published in 1979,/works/OL892069W?edition=ia%3Abreakingrankspol00podh,/authors/OL78935A/Norman_Podhoretz,//covers.openlibrary.org/b/olid/OL4400878M-M.jpg,Publish Date 1979|Publisher  Harper & Row|Language English|Pages 375,This edition doesn't have a description yet. Can you add one?,2 Want to read|0 Currently reading|0 Have read
Postcommunist Studies and Political Science,Frederic J. Fleron,political_science,First published in 2019,/works/OL25330529W,/authors/OL5285577A/Frederic_J._Fleron,/images/icons/avatar_book-sm.png,Publish Date 2019|Publisher  Taylor & Francis Group|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"Federalism, citizenship, and Quebec",Alain Gagnon,political_science,First published in 2006,/works/OL10980886W?edition=ia%3Afederalismcitize0000gagn,/authors/OL4564982A/Alain_Gagnon,//covers.openlibrary.org/b/olid/OL17928629M-M.jpg,Publish Date 2007|Publisher  University of Toronto Press|Language English|Pages 217,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Populist Nationalism in Europe and the Americas,Diane E. Johnson,political_science,First published in 2018,/works/OL20593256W,/authors/OL7806674A/Diane_E._Johnson,//covers.openlibrary.org/b/olid/OL27842281M-M.jpg,"Publish Date Oct 16, 2018|Publisher  Routledge|Pages 318",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
