title,author,category,publish_year,title_id,author_id,cover_url,book_stats,descriptions,reading_stats
Management of Marketing,Paul Reynolds,management,First published in 2005,/works/OL21323686W,/authors/OL1417092A/Paul_Reynolds,/images/icons/avatar_book-sm.png,Publish Date 2016|Publisher  Taylor & Francis Group|Language English|Pages 424,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Project Management,Patrick Healey,management,First published in 2010,/works/OL21324638W,/authors/OL1673561A/Patrick_Healey,/images/icons/avatar_book-sm.png,Publish Date 2010|Publisher  Taylor & Francis Group|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Risk Management in Software Development Projects,John McManus,management,First published in 2012,/works/OL21320157W,/authors/OL4758234A/John_McManus,/images/icons/avatar_book-sm.png,Publish Date 2016|Publisher  Taylor & Francis Group|Language English|Pages 188,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
PMP Project Management Professional Exam Certification Kit,Kim Heldman,management,First published in 2009,/works/OL20185316W,/authors/OL1454261A/Kim_Heldman,//covers.openlibrary.org/b/olid/OL27370539M-M.jpg,"Publish Date Mar 05, 2018|Publisher  Sybex|Pages 1104",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Supply Chain Management Workbook,Francis Harrison,management,First published in 2007,/works/OL21326861W,/authors/OL4896438A/Francis_Harrison,/images/icons/avatar_book-sm.png,Publish Date 2007|Publisher  Taylor & Francis Group|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Principles of emergency management and emergency operations centers (EOC),Michael J. Fagel,management,First published in 2010,/works/OL16996915W?edition=ia%3Aprinciplesemerge00fage,/authors/OL6984525A/Michael_J._Fagel,//covers.openlibrary.org/b/olid/OL25572655M-M.jpg,Publish Date 2011|Publisher  CRC Press|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Managing and Marketing Tourist Destinations,Metin Kozak,management,First published in 2010,/works/OL21250346W?edition=ia%3Amanagingmarketin0000meti,/authors/OL7952652A/Metin_Kozak,//covers.openlibrary.org/b/olid/OL28769707M-M.jpg,Publish Date 2012|Publisher  Taylor & Francis Group|Language English|Pages 262,This edition doesn't have a description yet. Can you add one?,1 Want to read|0 Currently reading|0 Have read
Further up the organisation,"Townsend, Robert",management,First published in 1984,/works/OL3485075W?edition=ia%3Afurtheruporganiz00town,/authors/OL581511A/Townsend_Robert,//covers.openlibrary.org/b/olid/OL2408368M-M.jpg,Publish Date 1988|Publisher  Perennial Library|Language English|Pages 257,This edition doesn't have a description yet. Can you add one?,5 Want to read|0 Currently reading|0 Have read
Tolley's Handbook of Disaster and Emergency Management,Tony Moore,management,First published in 2003,/works/OL25099348W,/authors/OL3020395A/Tony_Moore,//covers.openlibrary.org/b/olid/OL7477553M-M.jpg,"Publish Date November 14, 2003|Publisher  Butterworth-Heinemann,              LexisNexis UK|Language English|Pages 688",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Advances in Production Management Systems. Competitive Manufacturing for Innovative Products and Services,Christos Emmanouilidis,management,First published in 2013,/works/OL20718177W,/authors/OL6331349A/Christos_Emmanouilidis,//covers.openlibrary.org/b/olid/OL28017035M-M.jpg,"Publish Date 2015|Publisher  Springer Berlin / Heidelberg,              Springer|Language English|Pages 781",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
