title,author,category,publish_year,title_id,author_id,cover_url,book_stats,descriptions,reading_stats
Witnessing For Christ,Ethel Hudson Williams,bears,First published in 1936,/works/OL7597990W,/authors/OL2330974A/Ethel_Hudson_Williams,//covers.openlibrary.org/b/olid/OL10511880M-M.jpg,Publish Date 1936|Publisher  The Sunday school board of the Southern Baptist convention|Language English|Pages 103,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Facts about furs,F. Jean Vinter,bears,First published in 1957,/works/OL6945306W,/authors/OL1926847A/F._Jean_Vinter,/images/icons/avatar_book-sm.png,Publish Date 1973|Publisher  Animal Welfare Institute|Language English|Pages 106,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Teddy bears and how to make them,Margaret Hutchings,bears,First published in 1977,/works/OL6447606W?edition=ia%3Ateddybearshowtom0000hutc,/authors/OL1709989A/Margaret_Hutchings,//covers.openlibrary.org/b/olid/OL4559839M-M.jpg,Publish Date 1977|Publisher  Dover Publications|Language English|Pages 283,This edition doesn't have a description yet. Can you add one?,1 Want to read|0 Currently reading|0 Have read
Midnight teddies,Dana Kubick,bears,First published in 1989,/works/OL8138809W?edition=ia%3Amidnightteddies00dana,/authors/OL2711887A/Dana_Kubick,//covers.openlibrary.org/b/olid/OL8419805M-M.jpg,Publish Date 1989|Publisher  Discovery Toys|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"How Do You Say It Today, Jesse Bear",Nancy White Carlstrom,bears,First published in 1992,/works/OL8330191W?edition=ia%3Ahowdoyousayittod00carl_0,/authors/OL23527A/Nancy_White_Carlstrom,//covers.openlibrary.org/b/olid/OL1543034M-M.jpg,"Publish Date 1992|Publisher  Macmillan Pub. Co.,              Maxwell Macmillan Canada,              Maxwell Macmillan International|Language English",Rhymed text and illustrations describe Jesse Bear's activities from January to December.   Read more Read less,0 Want to read|0 Currently reading|0 Have read
Christie's Century of Teddy Bears,Leyla Maniera,bears,First published in 2001,/works/OL8557501W?edition=ia%3Achristiescentury0000mani,/authors/OL2868605A/Leyla_Maniera,//covers.openlibrary.org/b/olid/OL31885925M-M.jpg,Publish Date 2001|Publisher  Pavilion|Language English|Pages 192,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Golden Bear,Ruth Young,bears,First published in 1994,/works/OL3472379W,/authors/OL578808A/Ruth_Young,//covers.openlibrary.org/b/olid/OL7355958M-M.jpg,Publish Date October 1999|Publisher  Tandem Library|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Titus Bear goes to school,Renate Kozikowski,bears,First published in 1984,/works/OL3970013W,/authors/OL726118A/Renate_Kozikowski,/images/icons/avatar_book-sm.png,Publish Date 1984|Publisher  Harper & Row|Language English|Pages 12,"Titus Bear goes to school, plays with his friends, paints a picture, hears his teacher read a story, and experiences other enjoyable school activities.   Read more Read less",0 Want to read|0 Currently reading|0 Have read
Where is P.B. Bear going?,"Davis, Lee",bears,First published in 1997,/works/OL35476W?edition=ia%3Awhereispbbeargoi0000davi_n2l7,/authors/OL33948A/Davis_Lee,//covers.openlibrary.org/b/olid/OL10814642M-M.jpg,"Publish Date September 18, 1997|Publisher  Dorling Kindersley Publishers Ltd|Pages 24","Simple text and illustrations portray P.B. Bear as he spends an active day going to school, swimming, shopping, and engaging in other typical activities.   Read more Read less",0 Want to read|0 Currently reading|0 Have read
A Tale of Two Teddies,Kathleen Bart,bears,First published in 2001,/works/OL5756814W?edition=ia%3Ataleoftwoteddies0000bart,/authors/OL1400783A/Kathleen_Bart,//covers.openlibrary.org/b/olid/OL9413461M-M.jpg,"Publish Date October 1, 2001|Publisher  Portfolio Press (NY)|Language English|Pages 32",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Pooh Birthday Book,A. A. Milne,bears,First published in 1963,/works/OL476523W,/authors/OL29881A/A._A._Milne,/images/icons/avatar_book-sm.png,Publish Date 1963|Publisher  Dutton|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The Bear Who Wasn't There,Oren Lavie,bears,First published in 2016,/works/OL20235612W,/authors/OL7669930A/Oren_Lavie,//covers.openlibrary.org/b/olid/OL27429121M-M.jpg,"Publish Date Oct 04, 2016|Publisher  Black Sheep|Pages 40",This edition doesn't have a description yet. Can you add one?,5 Want to read|0 Currently reading|1 Have read
Snow Bear,Piers Harper,bears,First published in 2003,/works/OL1975017W?edition=ia%3Ayrartheira0000harp,/authors/OL237337A/Piers_Harper,//covers.openlibrary.org/b/olid/OL16221065M-M.jpg,Publish Date 2004|Publisher  Gomer|Language Welsh|Pages 24,This edition doesn't have a description yet. Can you add one?,1 Want to read|0 Currently reading|0 Have read
The teddy bear,Prue Theobalds,bears,First published in 1988,/works/OL19438573W?edition=ia%3Ateddybearantholo0000unse,/authors/OL488669A/Prue_Theobalds,//covers.openlibrary.org/b/olid/OL1229661M-M.jpg,Publish Date 1988|Publisher  Blackie|Language English|Pages 103,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"Wo bist du, Weihnachtsmann?",Norbert Landa,bears,First published in 1997,/works/OL18812W?edition=ia%3Alittlebearschris0000land_q7j4,/authors/OL24294A/Norbert_Landa,//covers.openlibrary.org/b/olid/OL18395232M-M.jpg,Publish Date 1998|Publisher  The Book People|Language English|Pages 32,"Determined to find out what Santa Claus looks like, a little bear sleeps as much as he can before winter hibernation, wakes himself up with his mother's alarm clock, and sets out into the snowy countryside.   Read more Read less",0 Want to read|0 Currently reading|0 Have read
Brown Bear Gets in Shape,Alan Durant,bears,First published in 2003,/works/OL20740393W?edition=ia%3Abrownbeargetsins0000dura,/authors/OL5491943A/Alan_Durant,//covers.openlibrary.org/b/olid/OL28051890M-M.jpg,"Publish Date Oct 17, 2005|Publisher  Kingfisher Books Ltd|Pages 48",This edition doesn't have a description yet. Can you add one?,1 Want to read|0 Currently reading|2 Have read
Fur and Feathers (Animal Parts),Elizabeth Miles,bears,First published in 2002,/works/OL1821035W,/authors/OL218306A/Elizabeth_Miles,//covers.openlibrary.org/b/olid/OL9506571M-M.jpg,Publish Date September 2002|Publisher  Heinemann|Language English|Pages 32,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The Bear Hunters Century,Paul Schullery,bears,First published in 1988,/works/OL1932843W?edition=ia%3Abearhunterscentu00schu,/authors/OL231869A/Paul_Schullery,//covers.openlibrary.org/b/olid/OL2035685M-M.jpg,Publish Date 1988|Publisher  Stackpole Books|Language English|Pages 252,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Cosy Christmas with Teddy Bear,Jacqueline McQuade,bears,First published in 1998,/works/OL1926456W?edition=ia%3Acosychristmaswit0000mcqu_v4m9,/authors/OL230970A/Jacqueline_McQuade,//covers.openlibrary.org/b/olid/OL12002854M-M.jpg,"Publish Date November 1, 1998|Publisher  Chrysalis Children's Books|Pages 26",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
North American furbearers,Eugene F. Deems,bears,First published in 1983,/works/OL19128699W,/authors/OL989786A/Eugene_F._Deems,/images/icons/avatar_book-sm.png,Publish Date 1983|Publisher  International Association of Fish and Wildlife Agencies in cooperation with the Maryland Department of Natural Resources-Wildlife Administration|Language English|Pages 223,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Joyfully Spreading the Word,Kathleen Nielson,bears,First published in 2018,/works/OL21618249W,/authors/OL7632582A/Kathleen_Nielson,/images/icons/avatar_book-sm.png,Publish Date 2018|Publisher  Crossway|Language English|Pages 192,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Grrrrr!,Rob Biddulph,bears,First published in 2015,/works/OL20237389W?edition=ia%3Agrrrrr0000bidd_j2b3,/authors/OL7287649A/Rob_Biddulph,//covers.openlibrary.org/b/olid/OL28687095M-M.jpg,Publish Date 2015|Publisher  HarperCollins Children's Books|Language English,"Come join Fred the Bear on a stunningly journey to be crowned the best bear in the wood and, just maybe, learn that there might be more to life than training. Each year, for as long as the forest has stood, a contest is held for the bears of the wood. And Fred is the champion. He is just that good. Fred is the Best Bear in the Wood and he has got the medals to prove it. Being the best takes a lot of hard work, and time on your own, but Fred does not mind. Until a new bear moves to town, and Fred's champion goes missing how will he ever win now? Or will Fred instead learn that some things are more important than winning?   Read more Read less",0 Want to read|0 Currently reading|0 Have read
Zusetsu IPC,Japan. Tokkyochō,bears,First published in 1995,/works/OL23603227W,/authors/OL6870981A/Japan._Tokkyochō,/images/icons/avatar_book-sm.png,Publish Date 1995|Publisher  Tokkyochō|Language Japanese|Pages 23,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Evangelism,William E. Biederwolf,bears,First published in 1921,/works/OL2342209W?edition=ia%3Aevangelismitsjus0000bied,/authors/OL317042A/William_E._Biederwolf,//covers.openlibrary.org/b/olid/OL28382219M-M.jpg,Publish Date 1921|Publisher  Fleming H. Revell|Language English|Pages 254,"""The lectures were prepared more especially for the students of our theological seminaries and delivered as a part ot fhe program of the National Federated Evangelistic Committee of which the author was formerly General Secretary. They were delivered to the students of Princeton Theological Seminary and later to those of Xenia Theological Seminary and elsewhere, including the students of the Moody Bible Institute, and they are put in this permanent form with very little modification from the original form and phraseology in which they were delivered at the very urgent petition of the many students who heard them."" - p. [6].   Read more Read less",0 Want to read|0 Currently reading|0 Have read
Report of Alaska investigations in 1914,United States. Bureau of Fisheries.,bears,First published in 1915,/works/OL1549384W?edition=ia%3Areportofalaskain00unitrich,/authors/OL164817A/United_States._Bureau_of_Fisheries.,//covers.openlibrary.org/b/olid/OL7126885M-M.jpg,Publish Date 1915|Publisher  Govt. Print. Off.,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The teddy bear story,Josa Keyes,bears,First published in 1985,/works/OL15411729W?edition=ia%3Ateddybearstory00keye,/authors/OL2761056A/Josa_Keyes,//covers.openlibrary.org/b/olid/OL24382013M-M.jpg,Publish Date 1985|Publisher  Gallery Books|Language English|Pages 96,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Pooh's Happy Halloween,Ann Braybrooks,bears,First published in 2003,/works/OL15149450W?edition=ia%3Apoohshappyhallow00bray,/authors/OL23932A/Ann_Braybrooks,//covers.openlibrary.org/b/olid/OL24217016M-M.jpg,Publish Date 2003|Publisher  Random House,"As Pooh and Piglet go tricking-or-treating on Halloween, they watch out for heffalumps.   Read more Read less",2 Want to read|0 Currently reading|0 Have read
The Bears' Seaside Adventure,Prue Theobalds,bears,First published in 1992,/works/OL3109216W?edition=ia%3Abearsseasideadve0000theo,/authors/OL488669A/Prue_Theobalds,//covers.openlibrary.org/b/olid/OL11582429M-M.jpg,"Publish Date July 20, 1992|Publisher  Uplands Books,              Uplands|Pages 32",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"Happy Valentine's Day, Pooh",Isabel Gaines,bears,First published in 2000,/works/OL516320W?edition=ia%3Ahappyvalentinesd0000gain,/authors/OL35974A/Isabel_Gaines,//covers.openlibrary.org/b/olid/OL27777162M-M.jpg,Publish Date 2001|Publisher  Scholastic Inc.|Language English|Pages 37,It was Valentine's Day in the Hundred-Acre Wood and Pooh and his friends plan to have a party and exchange cards.   Read more Read less,2 Want to read|0 Currently reading|0 Have read
Look Before You Bounce,Ronald Kidd,bears,First published in 1996,/works/OL15632157W?edition=ia%3Alookbeforeyoubou04kidd,/authors/OL35002A/Ronald_Kidd,//covers.openlibrary.org/b/olid/OL8703343M-M.jpg,"Publish Date 1996|Publisher  Advance Publishers, LLC|Language English|Pages 44",This edition doesn't have a description yet. Can you add one?,1 Want to read|0 Currently reading|1 Have read
Sir Billy Bear and Other Friends,Rose Impey,bears,First published in 1997,/works/OL2743387W,/authors/OL402340A/Rose_Impey,//covers.openlibrary.org/b/olid/OL9857028M-M.jpg,"Publish Date November 3, 1997|Publisher  Collins,              Harpercollins|Pages 160",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The bear went over the mountain,Iza Trapani,bears,First published in 2012,/works/OL24250166W?edition=ia%3Abearwentovermoun0000trap,/authors/OL24591A/Iza_Trapani,//covers.openlibrary.org/b/olid/OL32079765M-M.jpg,"Publish Date 2012|Publisher  Scholastic, Inc.,              Scholastic|Language English|Pages 26",A bear went over the mountain and all he could see was the other side.   Read more Read less,1 Want to read|0 Currently reading|0 Have read
"I love you, Daddy",Melanie Joyce,bears,First published in 2011,/works/OL20810485W?edition=ia%3Ailoveyoudaddy0000joyc,/authors/OL2796209A/Melanie_Joyce,//covers.openlibrary.org/b/olid/OL28172941M-M.jpg,"Publish Date 2011|Publisher  Igloo Books, Ltd.,              Igloo Books Ltd|Language English",This heart-warming story of a bear father and his cub gently and lovingly affirms the unbreakable bond between a father and his child.   Read more Read less,3 Want to read|0 Currently reading|0 Have read
Evangelism made slightly less difficult: how to interest people who aren't interested,Nick Pollard,bears,First published in 1997,/works/OL15160166W?edition=ia%3Aevangelismmadesl0000poll,/authors/OL26476A/Nick_Pollard,//covers.openlibrary.org/b/olid/OL28373161M-M.jpg,Publish Date 1997|Publisher  InterVarsity Press|Language English|Pages 189,This edition doesn't have a description yet. Can you add one?,1 Want to read|1 Currently reading|1 Have read
Berenstain Bears Save Christmas,Stan Berenstain,bears,First published in 2003,/works/OL27314148W,/authors/OL19823A/Stan_Berenstain,/images/icons/avatar_book-sm.png,Publish Date 2006|Publisher  HarperCollins Publishers|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The Berenstain Bears Forget Their Manners,Stan Berenstain,bears,First published in 1985,/works/OL72953W?edition=ia%3Aberenstainbearsf00bere,/authors/OL19823A/Stan_Berenstain,//covers.openlibrary.org/b/olid/OL2867734M-M.jpg,Publish Date 1985|Publisher  Random House|Language English|Pages 32,Mama Bear comes up with a plan to correct the Bear family's rude behavior.   Read more Read less,4 Want to read|1 Currently reading|0 Have read
Paddington Abroad,Michael Bond,bears,First published in 2012,/works/OL24798468W,/authors/OL35174A/Michael_Bond,//covers.openlibrary.org/b/olid/OL32946596M-M.jpg,"Publish Date Nov 24, 2015|Publisher  Harpercollins,              HarperCollins|Pages 176",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Hamish Takes the Train,Daisy Hirst,bears,First published in 2019,/works/OL21204190W,/authors/OL7531863A/Daisy_Hirst,//covers.openlibrary.org/b/olid/OL29867541M-M.jpg,"Publish Date 2020|Publisher  Candlewick Press,              Candlewick|Language English|Pages 40",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Bears,Caroline Repchuk,bears,First published in 2000,/works/OL20374168W?edition=ia%3Abears0000repc_m6t0,/authors/OL196638A/Caroline_Repchuk,//covers.openlibrary.org/b/olid/OL29385661M-M.jpg,Publish Date 2000|Publisher  Parragon|Language English|Pages 30,"""Meet an endearing cast of characters in this collection of simple stories, each one just the right length for reading aloud when bedtime beckons."" -- Back cover.   Read more Read less",0 Want to read|0 Currently reading|0 Have read
Goodnight Bear,Margaret Wise Brown,bears,First published in 2005,/works/OL35729936W,/authors/OL10347174A/Margaret_Wise_Brown,/images/icons/avatar_book-sm.png,Publish Date 2006|Publisher  Dalmatian Press|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The Berenstain Bears learn about strangers,Stan Berenstain,bears,First published in 1985,/works/OL72964W?edition=ia%3Aberenstainbearsl0000bere_z2l9,/authors/OL19823A/Stan_Berenstain,//covers.openlibrary.org/b/olid/OL2867735M-M.jpg,"Publish Date 1985|Publisher  Random House,              Random House Books for Young Readers|Language English|Pages 32",The Berenstain Bear cubs learn not to be overly friendly with strangers and give their rules for dealing with them.   Read more Read less,15 Want to read|0 Currently reading|3 Have read
Chopping Spree  (Goldy Bear Culinary Mystery #11),Diane Mott Davidson,bears,First published in 2002,/works/OL14911371W?edition=ia%3Achoppingspreedav00davi,/authors/OL19265A/Diane_Mott_Davidson,//covers.openlibrary.org/b/olid/OL23245990M-M.jpg,Publish Date 2002|Publisher  Bantam Books|Language English|Pages 304,"Her inventive recipe for mixing first-class suspense and five-star fare has made Diane Mott Davidson a favorite of mystery lovers and a mainstay on major bestseller lists across the country. Now she has prepared another irresistibly tempting tale spiced with mystery and mayhem...For Colorado caterer Goldy Schulz, business isn't just booming--it's skyrocketing. Her friend Marla is constantly warning her, ""Success can kill you."" But Goldy doesn't take the warning literally until her next booking: a cocktail party for the Westside Mall's Elite Shoppers Club.While setting up, Goldy is nearly run down by a truck with no intention of stopping. Then she finds an old friend in a pile of sale shoes--stabbed with one of Goldy's new knives. Goldy must catch the real killer between whipping up Sweethearts' Swedish Meatballs, Quiche Me Quick, and Diamond Lovers' Hot Crab Dip. Why was the victim carrying a powerful narcotic? Who hired a private investigator shortly before the murder? Goldy's gourmet instincts tell her the final course in this case will be a real killer.From the Paperback edition.   Read more Read less",1 Want to read|0 Currently reading|1 Have read
